Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,source_file,Period_clean,Period_date,month,year,breach_rate
MSitAE-APRIL-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4918,0,969,302,0,32,1081,0,1,63,0,0,185,2,1095,0,0,264,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,21.9804798698658
MSitAE-APRIL-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10067,0,0,0,0,0,3783,0,0,0,0,0,507,609,3107,0,0,751,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,37.57822588656005
MSitAE-APRIL-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15871,0,0,0,0,0,2746,0,0,0,0,0,944,24,2812,0,0,181,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,17.301997353663914
MSitAE-APRIL-2025,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7431,0,1387,0,0,0,3244,0,0,0,0,0,615,344,1655,0,0,429,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,43.654958955726016
MSitAE-APRIL-2025,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4406,0,0,84,0,69,2314,0,0,0,0,0,163,278,789,0,0,170,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,52.5192918747163
MSitAE-APRIL-2025,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7386,0,9340,0,0,1895,3650,0,556,0,0,73,318,13,2656,0,124,2332,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,49.41781749255348
MSitAE-APRIL-2025,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6646,0,1170,0,0,0,3021,0,0,0,0,0,772,111,965,0,0,146,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,45.45591333132711
MSitAE-APRIL-2025,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8877,0,0,37,0,0,2936,0,0,0,0,0,439,5,2863,0,0,498,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,33.07423679170891
MSitAE-APRIL-2025,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5079,0,2376,0,0,0,2712,0,262,0,0,0,234,709,1605,0,0,1187,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,53.39633786178381
MSitAE-APRIL-2025,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10777,0,0,0,0,0,1940,0,0,0,0,0,198,24,1725,0,0,331,April-2025-CSV-revised.csv,APRIL-2025,2025-04-01,4,2025,18.001299062818966
