Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,source_file,Period_clean,Period_date,month,year,breach_rate,prev_month_breach,rolling_3m_avg,is_winter,trust_hist_avg,attendance_change,trust_encoded
MSitAE-APRIL-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4972,243,11,441,0,0,2392,0,0,0,0,0,391,14,1354,0,0,479,April-2023-revised-130624-defv1.csv,APRIL-2023,2023-04-01,4,2023,48.10941271118263,,,0,42.03586869096604,,0
MSitAE-MAY-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5727,322,4,397,0,0,2219,0,0,0,0,0,237,16,1445,0,0,599,May-2023-revised-130624-aaabbdd.csv,MAY-2023,2023-05-01,5,2023,38.74628950584948,48.10941271118263,,0,42.03586869096604,15.185036202735326,0
MSitAE-JUNE-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5704,259,8,378,0,0,1956,0,0,0,0,0,140,0,1432,0,0,552,June-2023-revised-130624-ndcvf47.csv,JUNE-2023,2023-06-01,6,2023,34.29172510518934,38.74628950584948,43.42785110851605,0,42.03586869096604,-0.40160642570281624,0
MSitAE-JULY-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5756,328,12,424,0,0,2335,0,0,0,0,0,168,0,1457,0,0,608,July-2023-revised-130624-ign340.csv,JULY-2023,2023-07-01,7,2023,40.566365531619184,34.29172510518934,40.38247577407382,0,42.03586869096604,0.911640953716697,0
MSitAE-AUGUST-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5562,296,0,397,0,0,2592,0,0,0,0,0,290,0,1518,0,0,544,August-2023-revised-130624-ndx091.csv,AUGUST-2023,2023-08-01,8,2023,46.601941747572816,40.566365531619184,37.868126714219336,0,42.03586869096604,-3.370396108408613,0
MSitAE-SEPTEMBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5473,281,10,426,0,0,2546,0,0,0,0,0,253,44,1394,0,0,534,September-2023-revised-130624-odh304.csv,SEPTEMBER-2023,2023-09-01,9,2023,46.519276448017536,46.601941747572816,40.486677461460445,0,42.03586869096604,-1.6001438331535445,0
MSitAE-OCTOBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5549,286,20,490,0,0,2832,0,0,0,0,0,408,142,1383,0,0,649,October-2023-revised-130624-nbe280.csv,OCTOBER-2023,2023-10-01,10,2023,51.03622274283654,46.519276448017536,44.56252790906984,1,42.03586869096604,1.388635117851278,0
MSitAE-NOVEMBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5400,266,10,433,0,0,3173,0,0,0,0,0,393,238,1450,0,0,601,November-2023-revised-130624-vmw208.csv,NOVEMBER-2023,2023-11-01,11,2023,58.75925925925925,51.03622274283654,48.05248031280897,1,42.03586869096604,-2.685168498828616,0
MSitAE-DECEMBER-2023,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5428,206,9,548,0,0,3174,0,0,0,0,0,475,143,1498,0,0,550,December-2023-revised-130624-nbe280.csv,DECEMBER-2023,2023-12-01,12,2023,58.47457627118644,58.75925925925925,52.10491948337111,1,42.03586869096604,0.5185185185185182,0
MSitAE-JANUARY-2024,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5592,247,18,521,0,0,3142,0,0,0,0,0,527,220,1550,0,0,584,January-2024-revised-130624-ddff.csv,JANUARY-2024,2024-01-01,1,2024,56.187410586552225,58.47457627118644,56.09001942442742,1,42.03586869096604,3.0213706705969123,0
